Graph size, Total Time
4, 48
4, 40
4, 32
4, 72
4, 39
4, 45
4, 97
4, 49
4, 76
4, 59
14, 450
14, 954
14, 691
14, 847
14, 628
14, 1122
14, 938
14, 686
14, 452
14, 807
24, 3490
24, 1108
24, 2435
24, 0
24, 3444
24, 1532
24, 5792
24, 3791
24, 2406
24, 5827
34, 9234
34, 8090
34, 3760
34, 5442
34, 7347
34, 10328
34, 9687
34, 4165
34, 3821
34, 9771
44, 17841
44, 8175
44, 2271
44, 29988
44, 11021
44, 15271
44, 14877
44, 14413
44, 15753
44, 18109
54, 28921
54, 30408
54, 21779
54, 29805
54, 24260
54, 19921
54, 14544
54, 20610
54, 25490
54, 32417
64, 41542
64, 36559
64, 36708
64, 17872
64, 36511
64, 28911
64, 42283
64, 43127
64, 36071
64, 26397
74, 57626
74, 47275
74, 59399
74, 35763
74, 63453
74, 62104
74, 36035
74, 53151
74, 55764
74, 32321
84, 47284
84, 72361
84, 82374
84, 81131
84, 78834
84, 60774
84, 68884
84, 66527
84, 88807
84, 71311
94, 90437
94, 84831
94, 95781
94, 100112
94, 71870
94, 85483
94, 99245
94, 106150
94, 101437
94, 88841
104, 159638
104, 125417
104, 144053
104, 107188
104, 120759
104, 129739
104, 127564
104, 120048
104, 76983
104, 100503
114, 148903
114, 135550
114, 169984
114, 156292
114, 152930
114, 151584
114, 153087
114, 159241
114, 155602
114, 156431
124, 218212
124, 164533
124, 258581
124, 201977
124, 244351
124, 203698
124, 180514
124, 190261
124, 210905
124, 213356
134, 205155
134, 251353
134, 239909
134, 228081
134, 271188
134, 275375
134, 268528
134, 293178
134, 273900
134, 223919
144, 296911
144, 383316
144, 340488
144, 229480
144, 341293
144, 311156
144, 305678
144, 443626
144, 345310
144, 315598
154, 335915
154, 388670
154, 422815
154, 392841
154, 410647
154, 397482
154, 450728
154, 417864
154, 403879
154, 329209
164, 423845
164, 445615
164, 463571
164, 377719
164, 434153
164, 443654
164, 345829
164, 341083
164, 271683
164, 474274
174, 403987
174, 500738
174, 538301
174, 565913
174, 374861
174, 480710
174, 400931
174, 539782
174, 543515
174, 523327
184, 466804
184, 564107
184, 505142
184, 548029
184, 660117
184, 611151
184, 560018
184, 703012
184, 624334
184, 599384
194, 651897
194, 723846
194, 771028
194, 802964
194, 732019
194, 745891
194, 732976
194, 664972
194, 669553
194, 542089
204, 903380
204, 643101
204, 756700
204, 663700
204, 688561
204, 797749
204, 834248
204, 833565
204, 846108
204, 835159
214, 752942
214, 794677
214, 958233
214, 831509
214, 866965
214, 943888
214, 1075458
214, 1004005
214, 873036
214, 914853
224, 1213599
224, 956392
224, 1114501
224, 955242
224, 1123378
224, 1169401
224, 1131615
224, 1011377
224, 1030990
224, 837681
234, 1247831
234, 1262511
234, 1276904
234, 1123398
234, 1043527
234, 1099786
234, 1277747
234, 870903
234, 1140691
234, 1224285
244, 1409469
244, 1264831
244, 1223209
244, 1217974
244, 1509648
244, 1307533
244, 1391666
244, 1309468
244, 1306143
244, 1375526
254, 1520158
254, 1433661
254, 1533244
254, 1429395
254, 1466230
254, 1566707
254, 1295515
254, 1647684
254, 1585001
254, 1477650
